Capability ID,Product domain,Feature,User purpose,Route or screen,Main component,Frontend implementation,Backend implementation,Database or data source,External integration,Data currently real/mock/mixed,Current status,Confidence,Existing automated tests,Existing manual-test evidence,Test last executed during this audit,Audit result,Known defects,Security or privacy concerns,Accessibility concerns,Performance concerns,Required next action,Priority,Evidence reference
CAP-11,AI Scan,Recipe from photo,Digitize recipe,mealScan (recipe mode)→recipeDetail id 999,runScan 'recipe',Complete; injected as RECIPES id 999,Edge function mode 'recipe',Same,Anthropic,Real,VERIFIED WORKING (prior evidence),Medium,None,Prior E2E incl. cooking mode,2026-08-09 (failure path only),Scanned recipe not persisted across reload (known),DEF-006,Same as CAP-09,None,None,Persist scanned recipes,P3,T14 + prior
CAP-12,Nutrition,Calorie diary (day chips/steppers/delete/water),Daily food log,calorieDiary,screenBody 'calorieDiary',Complete,None,localStorage (dlog/dhide/water/diaryDay),None,Mixed (demo meals + real logs),VERIFIED WORKING,High,None,Fresh T1-T4,2026-08-09,All math exact incl. rapid-tap; syncs to dashboard,DEF-004 (water tile wording),None,× targets small,None,None,P3,T1-T4
CAP-13,Health,Today dashboard,Daily overview,healthToday,screenBody,Complete,None,localStorage + computed IIFE,None,Mixed,VERIFIED WORKING,High,None,Fresh T2/T3,2026-08-09,kcal ring/eaten/burned sync verified (990 left cross-check),None,"'Synced from Apple Health' caption is hardcoded (no integration)",None,None,Remove or implement HealthKit caption,P3,T2 T3
CAP-14,Health,Heart rate + blood pressure,Track vitals,heartRate,screenBody,Complete (steppers; BP save/history/delete),None,localStorage (hr/bpSys/bpDia/bpLog),None,Real user-entered,VERIFIED WORKING,High,None,Fresh T8,2026-08-09,Save appends history; renders 118/76,None,Health data unencrypted in localStorage,None,None,None,P3,T8
CAP-15,Health,Sleep,Track sleep,sleep,screenBody,Complete (bars/steppers/score),None,localStorage (sleepLog/sleepH/sleepM/sleepSel),None,Mixed,VERIFIED WORKING,High,None,Fresh T7,2026-08-09,Score formula verified (440min→93),None,Same as CAP-14,Bars not keyboard reachable,None,None,P3,T7
CAP-16,Health,Steps,Track steps,steps,screenBody,Complete (bars/goal/percent),None,localStorage (stepsLog/stepsToday/stepGoal),None,Mixed,VERIFIED WORKING,High,None,Fresh T6,2026-08-09,78% math exact; bars editable,None,None,Same,None,None,P3,T6
CAP-17,Health,Weight,Track weight,weight,screenBody,Complete (ranges W/M/6M; goal steppers; chart; milestones),None,localStorage (curW/wextra/wGoal),None,Mixed,VERIFIED WORKING,High,None,Fresh T5,2026-08-09,Range chips + goal verified,None,None,Chart values visual-only,None,Add tabular alternative,P3,T5
CAP-18,Health,Medical profile (conditions/medications),Health record,medicalProfile,screenBody,Complete (add/remove; free-text editors),None,localStorage (conds/meds),None,Real user-entered,VERIFIED WORKING (prior evidence),Medium,None,Prior round 3/4 + crawl clean replay,2026-08-09 (replay clean),Live counts feed settings/fitness hub,DEF-002 (stale-click race),Sensitive data in plaintext localStorage,None,None,None,P3,crawl replay
CAP-19,Planning,Meal plan (day/week/view/swap),Plan meals,mealPlan,screenBody,Complete,None,Fixture + planSwap offsets,None,Mock,VERIFIED WORKING,High,None,Fresh T9,2026-08-09,View toggle/day chips/swap verified,None,None,None,None,None,P3,T9
CAP-20,Planning,Add meal / auto-generate / templates,Populate plan,"addMeal, autoGenerate, mealTemplates",screenBody,Visual flows complete; generation simulated,None,Fixture,None,Mock,MOCKED OR HARDCODED,High,None,Crawl,2026-08-09,Controls respond; output canned,None,None,None,None,Implement real generation or label demo,P3,crawl
CAP-21,Grocery,Grocery list + add + settings,Shopping list,"grocery, addToGrocery, grocerySettings",groceryRow,Complete (checkboxes agSel; free-text add gExtra),None,localStorage,None,Mixed,VERIFIED WORKING (prior evidence),Medium,None,Prior rounds + crawl clean (58 controls),2026-08-09 (crawl),All 58 controls clicked without error,None,None,None,None,None,P3,crawl + prior
CAP-22,AI,AI coach / chat,Guidance,"aiCoach, aiChat",runCoach/sendChat,Chat input + canned replies,None,localStorage (chatLog),None (no AI call),Mock,MOCKED OR HARDCODED,High,None,Prior round 4 + crawl,2026-08-09 (crawl),Canned responses only — no model behind chat,None,Must add consent/disclaimers if made real,None,None,Wire to backend or label demo,P3,crawl + prior
CAP-23,AI,Generator / substitutions / auto-tag,Recipe AI helpers,"aiGenerator, aiSubstitutions, aiAutoTag",screenBody,Visual + chip state (aiHave),None,Fixture,None,Mock,MOCKED OR HARDCODED,High,None,Crawl,2026-08-09,Chips toggle; results canned,None,None,None,None,Same as CAP-22,P3,crawl
CAP-24,Social,Discover / public profiles / follow,Community,"discover, publicProfile, publicRecipe",screenBody,Complete visuals; follow toggle (state.following),None,Fixture,None,Mock,MOCKED OR HARDCODED,High,None,Prior round 3 + crawl,2026-08-09 (crawl),No real users or network,None,None,None,None,Requires full backend to be real,P3,crawl
CAP-25,Sharing,Share sheet,Share recipe,shareSheet,screenBody,Visual sheet with 21.app mock links,None,None,None,Mock,UI ONLY,High,None,Crawl,2026-08-09,No real share intents,None,None,Needs title else close button vanishes (known quirk),None,Use Web Share API,P3,crawl
CAP-26,Household,Household sharing,Family use,household,screenBody,Visual only,None,None,None,Mock,UI ONLY,High,None,Crawl,2026-08-09,Static content,None,None,None,None,Scope decision needed,P3,crawl
CAP-27,Monetization,Paywall (21 Pro),Subscription,paywall,screenBody,Visual; Continue shows toast and jumps,None,None,No payment provider,Mock,UI ONLY,High,None,Fresh rename check + crawl,2026-08-09,No purchase flow; pricing text present ($39.99/yr),Legal risk if shipped without real IAP,None,None,None,Integrate StoreKit/Play Billing before store submission,P2,T16 + crawl
CAP-28,Settings,Settings (units/notif/appearance/health/records/dietary),Preferences,settings,screenBody,Complete; dark mode real (appearance state); toggles persist,None,localStorage,None,Real user-entered,VERIFIED WORKING (prior evidence),Medium,None,Prior round 4 + crawl clean,2026-08-09 (crawl),19 controls respond,None,None,None,None,None,P3,crawl + prior
CAP-29,Settings,Data export,User data portability,settings (Export),export handler,Real Blob JSON download of all health/diary state,None,localStorage,None,Real,VERIFIED WORKING (prior evidence),Medium,None,Prior round 4 (real file downloaded),Not re-run (avoids download side-effect),Export file renamed 21-data.json in this audit,None,Export is unencrypted plaintext,None,None,None,P3,prior session
CAP-30,Legal,Terms/privacy/health disclaimers,Compliance surface,legal,openLegal,Static content complete; wellness disclaimer present,None,None,None,Real (static),VERIFIED WORKING,High,None,Fresh T16,2026-08-09,Disclaimer: '21 provides general wellness information only… not a medical device',Content not lawyer-reviewed,None,None,None,Legal review before beta,P2,T16
CAP-31,Fitness,Fitness hub,Activity overview,fitness,screenBody,Complete; list stats computed live from state,None,localStorage,None,Mixed,VERIFIED WORKING (prior evidence),Medium,None,Prior round 3 + crawl,2026-08-09 (crawl),18 controls respond,None,None,None,None,None,P3,crawl + prior
CAP-32,Platform,Persistence layer,Keep user data,setState override whitelist,componentDidMount + setState,Debounced localStorage save; whitelist of data keys,None,localStorage key recisource_v1,None,Real,VERIFIED WORKING,High,None,Fresh T13,2026-08-09,Data keys survive reload; view state resets (OQ-2),None,No cloud backup — device loss = data loss,None,2.6MB single file long load (loader added),Cloud sync for beta,P2,T13
CAP-33,Platform,Mobile packaging (Capacitor),App-store distribution,capacitor.config.json,n/a,Config present (appName now 21; appId com.recisource.app),n/a,n/a,Capacitor 6,n/a,IMPLEMENTED — NOT TESTED,Low,None,None,Never (no Xcode run recorded),iOS build never executed in any audited session,None,None,None,None,Run cap sync + device build,P2,repo files
CAP-34,Backend,scan_debug error logging,Diagnose scan failures,n/a,edge function,n/a,Implemented in scan v15+,scan_debug table (service-role only RLS),Supabase,Real,BACKEND ONLY,Medium,None,Prior session verification,Not re-run,Logs errors server-side; photos no longer stored,None,Ensure retention policy documented,n/a,n/a,Document retention,P3,prior session
CAP-35,Integrations,Apple Health / wearables,Auto health data,healthToday caption,none,Caption text only,None,None,None claimed,Mock,NOT IMPLEMENTED,High,None,Fresh observation,2026-08-09,'Synced from Apple Health · 5 min ago' is hardcoded fiction,None,Misleading claim — remove before beta,None,None,Remove caption or integrate HealthKit,P2,T13 obs
CAP-36,Notifications,Push/reminders,Engagement,settings toggles,none,Toggle UI only,None,None,None,Mock,NOT IMPLEMENTED,High,None,Crawl,2026-08-09,Toggles persist a boolean; nothing schedules,None,None,None,None,Scope decision,P3,crawl
CAP-37,Calendar,Appointments/day planning,Schedule,None beyond mealPlan week,n/a,Not present,None,None,None,n/a,NOT IMPLEMENTED,High,None,Repo search,2026-08-09,No calendar/appointment feature exists in code,None,None,None,None,Scope decision (task brief assumed one),P3,repo grep
